poi_lat,poi_lon,category
6.309818,80.3175038,schools
6.340643,80.3344922,schools
6.2990364,80.3181675,schools
6.3112037,80.2419955,schools
6.3285927,80.2463903,schools
6.3550514,80.3161969,schools
6.307474,80.3598056,schools
6.077398,80.3111358,schools
6.4705243,80.7327091,schools
6.4391814,80.6466694,schools
5.973146,80.3960734,schools
5.9946936,80.3148339,schools
5.9945491,80.3144516,schools
5.9949663,80.314801,schools
5.9951064,80.3148139,schools
5.9947681,80.3143884,schools
6.0092311,80.3116371,schools
6.0020363,80.3102127,schools
6.0021092,80.3101028,schools
6.0019683,80.3099522,schools
6.0020989,80.3098595,schools
6.0022096,80.3101137,schools
6.0025126,80.3104492,schools
6.0024485,80.310357,schools
6.0027947,80.3103876,schools
6.0030901,80.3103349,schools
6.0032736,80.3100034,schools
5.9851847,80.3441632,schools
5.9856316,80.3430424,schools
5.9865718,80.3523543,schools
5.9752251,80.3694426,schools
5.9754139,80.3695254,schools
5.9753923,80.3697624,schools
5.9752416,80.3696527,schools
5.9751046,80.3695436,schools
5.9749896,80.3697098,schools
5.974952,80.3699016,schools
5.9749403,80.3700957,schools
6.4515677,80.2017071,schools
6.3133964,80.1633149,schools
6.3493394,80.1512235,schools
6.3519578,80.1515494,schools
5.9486956,80.6270139,schools
6.1233129,80.4830343,schools
6.3195019,80.8316577,schools
6.2885295,80.8230721,schools
6.3651537,80.9201644,schools
6.3392654,80.8803348,schools
6.2009691,80.8037002,schools
6.2423946,80.8120622,schools
6.253905,80.8103651,schools
6.3357237,80.8528353,schools
6.4672054,80.107538,schools
6.1151081,80.120029,schools
6.1416026,80.1268877,schools
5.9430421,80.6125305,schools
6.2219981,80.6032493,schools
6.0423914,80.7318634,schools
6.1402723,80.7584396,schools
6.3816246,80.4157693,schools
6.141061,80.4810018,schools
6.1991881,80.4670469,schools
6.4243183,80.5179941,schools
6.0293717,80.7065086,schools
5.9457137,80.5152175,schools
6.1103264,80.6789476,schools
6.0962713,80.6684944,schools
6.0921915,80.6759085,schools
6.0937821,80.6262732,schools
6.0963213,80.6308435,schools
6.0785505,80.6400106,schools
6.1045401,80.9108855,schools
6.0212522,80.7975824,schools
5.9390411,80.4769465,schools
6.2839522,80.892945,schools
6.4029582,80.6937272,schools
6.108408,80.1262967,schools
6.0366488,80.2161531,hospitals
5.9749081,80.4189122,hospitals
6.0288675,80.2162698,hospitals
5.9531215,80.4541208,hospitals
6.1271953,81.1224549,hospitals
6.1147035,81.0220545,hospitals
5.9637929,80.6018991,hospitals
6.1496815,80.6981565,hospitals
6.2067106,80.6684374,hospitals
6.3796996,80.3743171,hospitals
6.3575453,80.5682703,hospitals
6.3298078,80.5223857,hospitals
6.0378367,80.391441,hospitals
5.9482037,80.4571577,hospitals
6.3023047,80.249527,hospitals
6.2882861,80.4016012,hospitals
6.2343884,80.8800558,hospitals
6.0084654,80.5007265,hospitals
6.1614238,80.1804779,hospitals
6.3256369,80.8433486,hospitals
5.9541051,80.5250197,hospitals
6.4252834,80.8162356,hospitals
6.3310635,80.8575621,hospitals
6.0227057,80.796872,hospitals
5.948234,80.5466443,hospitals
5.9487319,80.5386778,hospitals
5.9509878,80.4959268,hospitals
5.9484626,80.4950185,hospitals
6.2018314,80.5919817,hospitals
6.1652567,80.8997815,hospitals
6.036438,80.2165098,hospitals
6.0603515,80.2052673,hospitals
6.1450937,80.765182,hospitals
6.0884432,80.7437221,hospitals
5.9497342,80.5502054,hospitals
6.4715878,80.614724,hospitals
6.2451002,80.2678824,hospitals
6.0202465,80.2475954,hospitals
5.9483687,80.6137895,hospitals
6.1267269,80.1126233,hospitals
6.0365933,80.2162355,hospitals
6.0957342,80.5647207,hospitals
6.422959,80.8151802,hospitals
6.0507459,80.7392932,hospitals
6.2677965,80.6980836,hospitals
6.2589936,80.763909,hospitals
6.1285856,80.4913873,hospitals
6.3327708,80.3885883,hospitals
6.4831595,80.7063831,hospitals
6.2252704,80.222576,hospitals
6.1539661,80.6010273,hospitals
6.3313532,80.3223076,hospitals
5.9732667,80.4325074,hospitals
5.9466474,80.5400533,hospitals
6.4712636,80.1032987,hospitals
6.1241201,80.1114252,hospitals
6.0652155,80.2275865,hospitals
6.0665678,80.225809,hospitals
6.0661999,80.2257915,hospitals
6.2938317,80.1642436,hospitals
6.0693537,80.2271794,hospitals
6.3261811,80.8419125,hospitals
6.2259291,80.2229742,hospitals
6.0226478,80.7975837,hospitals
5.9625376,80.6775822,hospitals
5.9643151,80.4936414,hospitals
5.9479065,80.5496589,hospitals
5.9624021,80.4564517,hospitals
6.0114849,80.306424,hospitals
6.0357763,80.216071,hospitals
6.0366975,80.2164766,hospitals
5.9486199,80.5411243,hospitals
6.06501,80.539896,hospitals
6.0387668,80.2068311,hospitals
6.2103202,80.2971784,hospitals
6.2102803,80.2968721,hospitals
6.2105375,80.2968959,hospitals
6.1567141,81.1095044,hospitals
6.0681369,80.2235409,hospitals
6.0512891,80.219657,hospitals
6.0424754,80.239436,hospitals
6.0693123,80.2271984,hospitals
6.0694611,80.2237377,hospitals
6.0674693,80.2273071,hospitals
6.06672,80.2266385,hospitals
6.0677869,80.227228,hospitals
6.0678261,80.2282972,hospitals
6.0658976,80.2261984,hospitals
6.0717548,80.1790696,hospitals
6.0533651,80.1925101,hospitals
6.0572061,80.1994752,hospitals
6.0732437,80.2399487,hospitals
6.058774,80.1843626,hospitals
5.9904439,80.6121098,hospitals
6.0905316,80.1478412,hospitals
6.076868,80.6769151,hospitals
6.4347065,80.1983695,hospitals
6.0840288,80.4701463,hospitals
5.9741887,80.4240214,hospitals
6.3316058,80.3225724,hospitals
5.9771928,80.3645896,hospitals
6.2755934,80.1402905,hospitals
6.0798718,80.5660393,hospitals
6.0799649,80.5660763,hospitals
6.0795215,80.56567,hospitals
6.0767814,80.5642384,hospitals
6.2455094,80.8077134,hospitals
6.0230035,80.7944676,hospitals
6.0411635,80.2193468,worship
6.0394153,80.2206156,worship
6.044276,80.2204785,worship
6.453433,80.6104762,worship
6.0618512,80.1936045,worship
6.0391918,80.2189176,worship
6.0420512,80.2100255,worship
6.0336472,80.2183437,worship
6.0548541,80.2214569,worship
6.0578728,80.2083534,worship
6.0578826,80.2154199,worship
6.0602475,80.2059459,worship
6.0500595,80.2298394,worship
6.0403011,80.2445105,worship
6.0405133,80.215669,worship
5.9424116,80.5145768,worship
5.953803,80.5189863,worship
5.952992,80.5320648,worship
5.9577139,80.5303911,worship
5.955813,80.5530057,worship
6.0132659,80.5643642,worship
5.9887061,80.6148751,worship
6.3126021,80.1624065,worship
5.9322707,80.589975,worship
6.0060945,80.2433908,worship
6.3207732,80.1355871,worship
6.3385105,80.2232698,worship
6.2220382,80.2131676,worship
5.9458089,80.5633095,worship
5.9647628,80.6083291,worship
6.0225312,80.6047939,worship
6.017095,80.6026213,worship
5.9539212,80.5544247,worship
5.9557327,80.5483036,worship
6.1121806,81.0184925,worship
6.1230636,81.0201536,worship
6.12695,81.0221296,worship
6.1095242,81.0518055,worship
5.9629914,80.661866,worship
6.1353582,80.8129094,worship
6.1230464,80.7363765,worship
6.0635596,80.2095382,worship
6.0573183,80.1776951,worship
6.0404825,80.2043777,worship
6.0575797,80.1824426,worship
