poi_lat,poi_lon,category
6.9136763,79.9467156,schools
6.8143086,79.8738873,schools
6.8143601,79.8774709,schools
7.089941,79.8507037,schools
6.8286454,79.9201573,schools
6.8069133,79.908994,schools
7.0854319,79.9293211,schools
7.0579226,79.9298682,schools
7.0695924,79.9533024,schools
6.8842085,79.8693635,schools
6.8864053,79.8735164,schools
7.0297387,79.9185234,schools
7.0404347,79.9086583,schools
7.0203044,79.9234694,schools
6.8918433,79.8608637,schools
6.9158241,79.8709059,schools
6.8584502,79.8658406,schools
6.856859,79.946069,schools
6.8465091,79.8677567,schools
6.8519965,79.9224078,schools
6.8483694,79.9244302,schools
6.8654741,79.9115636,schools
6.8800909,79.8997064,schools
6.8844234,79.8680072,schools
6.8709411,79.8904519,schools
6.8295595,79.8717788,schools
6.8680634,79.8925781,schools
6.9715062,79.9134322,schools
6.8647884,79.9006969,schools
6.9147139,79.8553433,schools
6.8446268,79.9771002,schools
6.8439807,80.0436651,schools
6.8522951,80.0468501,schools
6.8304653,79.9615868,schools
6.8395546,80.0883829,schools
6.8406039,80.0917839,schools
6.926897,79.8505675,schools
6.9240694,79.9408452,schools
6.8719477,79.8845994,schools
6.8707813,79.8867451,schools
6.8704724,79.8862784,schools
6.8959215,79.8541271,schools
6.8571602,79.8647832,schools
6.9079093,79.8640536,schools
6.9838638,79.9104817,schools
6.9850346,79.9235665,schools
6.9753624,79.8896017,schools
6.9715525,79.9546479,schools
6.9089095,80.0886393,schools
6.9079564,80.0834559,schools
6.9017748,80.0865748,schools
6.9181661,80.0996052,schools
6.9303637,79.9835031,schools
6.9474414,79.9938994,schools
6.9452528,79.9910991,schools
6.9594705,80.017417,schools
6.9947678,80.0160491,schools
6.9476856,80.1095666,schools
6.8867428,79.8600947,schools
6.8840293,79.8665535,schools
7.0794036,79.8951673,schools
7.049042,79.9058395,schools
7.0460239,79.9081116,schools
7.0466188,79.8914999,schools
6.9971852,79.9172257,schools
6.9870632,79.89057,schools
6.9848908,79.8933541,schools
7.0057468,79.8869865,schools
6.9995732,79.8817964,schools
6.9350605,79.9152261,schools
6.9362286,79.9201009,schools
6.9378908,79.9165525,schools
6.9588474,79.894427,schools
6.9575708,79.8867586,schools
6.9376166,79.8717569,schools
7.0339888,80.0929535,schools
6.8940815,79.8790579,schools
6.9289525,79.8808764,schools
6.9377124,79.8886441,schools
6.8650441,79.8970866,schools
6.8406688,79.9161897,schools
6.9203103,79.8691938,schools
6.9246176,79.8686836,schools
6.9131523,79.884712,schools
6.856095,79.909678,schools
6.9743213,79.9526309,schools
6.9690987,79.9588281,schools
6.9723597,80.116551,schools
7.0756399,80.012589,schools
6.9097759,79.8643195,schools
6.8945318,79.8656053,schools
6.975404,79.8971458,schools
6.8813611,80.0536198,schools
6.899209,79.8717248,schools
6.8443675,79.9299547,schools
6.8872645,79.8676193,schools
6.8643528,79.9965536,schools
6.8670747,80.0146199,schools
6.8504844,80.0329229,schools
6.8631394,80.0254353,schools
7.0886444,80.0077351,schools
6.8473786,80.0027316,schools
6.9442899,80.0695854,schools
6.94392,80.0705768,schools
6.9085954,79.9367591,schools
6.9328504,79.8632817,schools
6.933914,79.8634898,schools
6.9155277,79.9716086,schools
7.0911518,79.8925024,schools
6.9041507,79.9233938,schools
6.9623332,79.862655,schools
7.0022163,79.9077104,schools
6.856003,80.0972341,schools
6.965729,79.872006,schools
6.971356,79.874806,schools
6.970149,79.877955,schools
6.9675868,79.8781937,schools
6.9638521,79.8651151,schools
6.963733,79.870589,schools
6.93763,79.857811,schools
6.9572063,79.8685462,schools
6.929026,79.874892,schools
6.935806,79.858316,schools
6.9472,79.871373,schools
6.922571,79.8483247,schools
6.9333123,79.8634884,schools
6.926799,79.869785,schools
6.89317,79.888405,schools
6.872463,79.887348,schools
6.8718614,79.8847817,schools
6.874496,79.86839,schools
6.915808,79.870943,schools
6.886142,79.876571,schools
6.954265,79.863771,schools
6.9117983,79.8868193,schools
6.9165,79.862575,schools
6.918495,79.876726,schools
6.954206,79.859608,schools
6.91091,79.893715,schools
6.919332,79.885304,schools
6.93122,79.872966,schools
6.946085,79.865558,schools
6.92718,79.86847,schools
6.90031,79.859206,schools
6.922336,79.892836,schools
6.911709,79.888474,schools
6.937614,79.872274,schools
6.890965,79.872156,schools
6.886486,79.869291,schools
6.9012258,79.9078684,schools
6.939701,79.86383,schools
6.923431,79.872113,schools
6.8724361,79.8629957,schools
6.944336,79.87281,schools
6.915121,79.851438,schools
6.93918,79.864334,schools
6.942667,79.86279,schools
6.94308,79.863015,schools
6.949169,79.861325,schools
6.9076,79.857602,schools
6.921612,79.865279,schools
6.895493,79.853278,schools
6.884184,79.866711,schools
6.9188696,79.863919,schools
6.926515,79.872778,schools
6.941358,79.877949,schools
6.932346,79.859523,schools
6.9121155,79.8489682,schools
6.914542,79.869034,schools
6.943901,79.862269,schools
6.928736,79.868798,schools
6.896957,79.879237,schools
6.951787,79.862205,schools
6.905272,79.865692,schools
6.863075,79.864104,schools
6.875982,79.869801,schools
6.878675,79.876538,schools
6.914842,79.890218,schools
6.923323,79.881442,schools
6.9107875,79.8946476,schools
6.867673,79.897792,schools
6.869561,79.864308,schools
6.871621,79.885508,schools
6.9444751,79.8575461,schools
6.948836,79.864967,schools
6.947501,79.864967,schools
6.876851,79.862092,schools
6.8689893,79.8894865,schools
6.9306626,79.8737642,schools
6.8669322,79.8953636,schools
6.925775,79.861121,schools
6.948552,79.875326,schools
6.948413,79.865252,schools
6.8947877,79.8574191,schools
6.944266,79.858654,schools
6.913866,79.853343,schools
6.914536,79.853053,schools
6.913678,79.85279,schools
6.930152,79.877756,schools
6.886346,79.858423,schools
6.8638,79.898447,schools
6.913362,79.876506,schools
6.9285,79.880894,schools
6.946524,79.872242,schools
6.943461,79.860424,schools
6.948434,79.885261,schools
6.919536,79.851964,schools
6.880526,79.868272,schools
6.942233,79.859726,schools
6.916934,79.872403,schools
6.927111,79.864764,schools
6.8841135,79.9071818,schools
6.9925739,79.9417721,schools
6.8489027,79.9372992,schools
6.9650292,79.8669135,schools
6.9607099,79.8720936,schools
6.9609944,79.8717114,schools
6.9629673,79.8737483,schools
6.9689438,79.9395011,schools
6.9697195,79.931469,schools
7.0781494,79.949281,schools
6.9347123,80.0024965,schools
6.9344144,79.9933592,schools
6.8132605,79.9373899,schools
6.8809302,80.0343875,schools
6.8917585,80.0579079,schools
6.9115265,79.8876289,schools
6.8933567,79.9730933,schools
6.8952851,79.8570252,schools
6.8832479,79.8585612,schools
6.9252203,79.8676624,schools
6.9364204,79.8730281,schools
7.0946215,80.0127371,schools
7.0883138,80.0117765,schools
7.0879217,80.0130409,schools
7.0872979,79.9915508,schools
7.0944582,79.9954263,schools
6.9072024,79.8509243,schools
